company,item,calories,fat_g,sat_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbs_g,fiber_g,sugars_g,protein_g
McDonald’s,Snack Size McFlurry® with M&M’S® Candies,430.0,16.0,10.0,0.5,35.0,130.0,64.0,2.0,59.0,9.0
McDonald’s,Snack Size McFlurry® with OREO® Cookies,340.0,12.0,6.0,0.0,30.0,200.0,53.0,2.0,43.0,8.0
McDonald’s,Strawberry McCafé® Shake (12 fl oz cup),570.0,17.0,10.0,1.0,50.0,170.0,92.0,0.0,79.0,11.0
McDonald’s,Strawberry McCafé® Shake (16 fl oz cup),710.0,20.0,12.0,1.0,65.0,210.0,116.0,0.0,100.0,14.0
McDonald’s,Strawberry McCafé® Shake (22 fl oz cup),860.0,24.0,15.0,1.5,75.0,260.0,144.0,0.0,124.0,18.0
McDonald’s,Strawberry Triple Thick® Shake (12 fl oz cup),420.0,10.0,6.0,0.5,40.0,130.0,73.0,0.0,63.0,10.0
McDonald’s,Strawberry Triple Thick® Shake (16 fl oz cup),560.0,13.0,8.0,1.0,50.0,170.0,97.0,0.0,84.0,13.0
McDonald’s,Strawberry Triple Thick® Shake (21 fl oz cup),740.0,18.0,11.0,1.0,70.0,230.0,128.0,0.0,111.0,17.0
McDonald’s,Strawberry Triple Thick® Shake (32 fl oz cup),1110.0,26.0,16.0,2.0,100.0,350.0,194.0,0.0,168.0,25.0
McDonald’s,Vanilla McCafé® Shake (12 fl oz cup),540.0,16.0,10.0,1.0,45.0,170.0,88.0,0.0,64.0,10.0
McDonald’s,Vanilla McCafé® Shake (16 fl oz cup),680.0,20.0,12.0,1.0,60.0,220.0,111.0,0.0,82.0,14.0
McDonald’s,Vanilla McCafé® Shake (22 fl oz cup),830.0,24.0,14.0,1.5,75.0,270.0,138.0,0.0,103.0,17.0
McDonald’s,Vanilla Triple Thick Shake® (32 fl oz cup),1110.0,26.0,16.0,2.0,100.0,370.0,193.0,0.0,145.0,25.0
McDonald’s,Vanilla Triple Thick® Shake (12 fl oz cup),420.0,10.0,6.0,0.5,40.0,140.0,72.0,0.0,54.0,9.0
McDonald’s,Vanilla Triple Thick® Shake (16 fl oz cup),550.0,13.0,8.0,1.0,50.0,190.0,96.0,0.0,72.0,13.0
McDonald’s,Vanilla Triple Thick® Shake (21 fl oz cup),740.0,18.0,11.0,1.0,70.0,250.0,128.0,0.0,96.0,17.0
McDonald’s,1% Low Fat Milk Jug,100.0,2.5,1.5,0.0,10.0,125.0,12.0,0.0,12.0,8.0
McDonald’s,1% Low Fat Chocolate Milk Jug,170.0,3.0,1.5,0.0,5.0,150.0,26.0,1.0,25.0,9.0
McDonald’s,Minute Maid® 100% Apple Juice Box,100.0,0.0,0.0,0.0,0.0,15.0,23.0,0.0,22.0,0.0
McDonald’s,Dasani® Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McDonald’s,Minute Maid® Orange Juice (Small),150.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,2.0
McDonald’s,Minute Maid® Orange Juice (Medium),190.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,39.0,3.0
McDonald’s,Minute Maid® Orange Juice (Large),280.0,0.0,0.0,0.0,0.0,5.0,58.0,0.0,58.0,4.0
McDonald’s,Coca-Cola® Classic (Child),110.0,0.0,0.0,0.0,0.0,5.0,29.0,0.0,29.0,0.0
McDonald’s,Coca-Cola® Classic (Small),150.0,0.0,0.0,0.0,0.0,10.0,40.0,0.0,40.0,0.0
McDonald’s,Coca-Cola® Classic (Medium),210.0,0.0,0.0,0.0,0.0,15.0,58.0,0.0,58.0,0.0
McDonald’s,Coca-Cola® Classic (Large),310.0,0.0,0.0,0.0,0.0,20.0,86.0,0.0,86.0,0.0
McDonald’s,Diet Coke® (Child),0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
McDonald’s,Diet Coke® (Small),0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
McDonald’s,Diet Coke® (Medium),0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
McDonald’s,Diet Coke® (Large),0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0
McDonald’s,Sprite® (Child),110.0,0.0,0.0,0.0,0.0,30.0,28.0,0.0,28.0,0.0
McDonald’s,Sprite® (Small),150.0,0.0,0.0,0.0,0.0,40.0,39.0,0.0,39.0,0.0
McDonald’s,Sprite® (Medium),210.0,0.0,0.0,0.0,0.0,55.0,56.0,0.0,56.0,0.0
McDonald’s,Sprite® (Large),310.0,0.0,0.0,0.0,0.0,80.0,83.0,0.0,83.0,0.0
McDonald’s,Hi-C® Orange Lavaburst (Child),120.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,32.0,0.0
McDonald’s,Hi-C® Orange Lavaburst (Small),160.0,0.0,0.0,0.0,0.0,5.0,44.0,0.0,44.0,0.0
McDonald’s,Hi-C® Orange Lavaburst (Medium),240.0,0.0,0.0,0.0,0.0,10.0,64.0,0.0,64.0,0.0
McDonald’s,Hi-C® Orange Lavaburst (Large),350.0,0.0,0.0,0.0,0.0,10.0,94.0,0.0,94.0,0.0
McDonald’s,POWERade® Mountain Blast (Child),70.0,0.0,0.0,0.0,0.0,65.0,20.0,0.0,16.0,0.0
McDonald’s,POWERade® Mountain Blast (Small),100.0,0.0,0.0,0.0,0.0,85.0,27.0,0.0,21.0,0.0
McDonald’s,POWERade® Mountain Blast (Medium),150.0,0.0,0.0,0.0,0.0,130.0,39.0,0.0,31.0,0.0
McDonald’s,POWERade® Mountain Blast (Large),220.0,0.0,0.0,0.0,0.0,190.0,58.0,0.0,46.0,0.0
McDonald’s,Iced Tea (Child),0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
McDonald’s,Iced Tea (Small),0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
McDonald’s,Iced Tea (Medium),0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
McDonald’s,Iced Tea (Large),0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0
McDonald’s,Coffee (Small),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McDonald’s,Coffee (Large),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McDonald’s,Coffee Cream,20.0,2.0,1.5,0.0,10.0,15.0,0.0,0.0,0.0,0.0
McDonald’s,Sugar Packet,15.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
McDonald’s,"EQUAL® 0
Calorie Sweetener",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
McDonald’s,"SPLENDA® No
Calorie Sweetener",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
McDonald’s,Iced Coffee– Caramel (Small),130.0,5.0,3.5,0.0,20.0,80.0,21.0,0.0,20.0,1.0
McDonald’s,Iced Coffee– Caramel (Medium),190.0,8.0,5.0,0.0,30.0,115.0,27.0,0.0,27.0,2.0
McDonald’s,Iced Coffee– Caramel (Large),270.0,11.0,7.0,0.0,40.0,160.0,41.0,0.0,41.0,2.0
McDonald’s,Iced Coffee– Hazelnut (Small),130.0,5.0,3.5,0.0,20.0,40.0,21.0,0.0,21.0,1.0
