,Title,Rating,directors,actors,voter_count,years,link
164,"Three Billboards Outside Ebbing, Missouri",8.1,Martin McDonagh ,"[' Frances McDormand', ' Woody Harrelson']","517,947",2017,https://www.imdb.com/title/tt5027774/
165,The Bridge on the River Kwai,8.1,David Lean ,"[' William Holden', ' Alec Guinness']","223,475",1957,https://www.imdb.com/title/tt0050212/
166,Trainspotting,8.1,Danny Boyle ,"[' Ewan McGregor', ' Ewen Bremner']","694,762",1996,https://www.imdb.com/title/tt0117951/
167,Prisoners,8.1,Denis Villeneuve ,"[' Hugh Jackman', ' Jake Gyllenhaal']","731,714",2013,https://www.imdb.com/title/tt1392214/
168,Warrior,8.1,Gavin O'Connor ,"[' Tom Hardy', ' Nick Nolte']","477,957",2011,https://www.imdb.com/title/tt1291584/
169,Fargo,8.1,Joel Coen ,"[' William H. Macy', ' Frances McDormand']","686,144",1996,https://www.imdb.com/title/tt0116282/
170,Gran Torino,8.1,Clint Eastwood ,"[' Clint Eastwood', ' Bee Vang']","783,052",2008,https://www.imdb.com/title/tt1205489/
171,My Neighbor Totoro,8.1,Hayao Miyazaki ,"[' Hitoshi Takagi', ' Noriko Hidaka']","346,434",1988,https://www.imdb.com/title/tt0096283/
172,Catch Me If You Can,8.1,Steven Spielberg ,"[' Leonardo DiCaprio', ' Tom Hanks']","1,002,622",2002,https://www.imdb.com/title/tt0264464/
173,Million Dollar Baby,8.1,Clint Eastwood ,"[' Hilary Swank', ' Clint Eastwood']","694,005",2004,https://www.imdb.com/title/tt0405159/
174,Children of Heaven,8.1,Majid Majidi ,"[' Mohammad Amir Naji', ' Amir Farrokh Hashemian']","75,806",1997,https://www.imdb.com/title/tt0118849/
175,Blade Runner,8.1,Ridley Scott ,"[' Harrison Ford', ' Rutger Hauer']","779,444",1982,https://www.imdb.com/title/tt0083658/
176,The Gold Rush,8.1,Charles Chaplin ,"[' Charles Chaplin', ' Mack Swain']","112,820",1925,https://www.imdb.com/title/tt0015864/
177,Klaus,8.1,Sergio Pablos ,"[' Jason Schwartzman', ' J.K. Simmons']","162,848",2019,https://www.imdb.com/title/tt4729430/
178,Before Sunrise,8.1,Richard Linklater ,"[' Ethan Hawke', ' Julie Delpy']","315,369",1995,https://www.imdb.com/title/tt0112471/
179,Harry Potter and the Deathly Hallows: Part 2,8.1,David Yates ,"[' Daniel Radcliffe', ' Emma Watson']","888,847",2011,https://www.imdb.com/title/tt1201607/
180,12 Years a Slave,8.1,Steve McQueen ,"[' Chiwetel Ejiofor', ' Michael Kenneth Williams']","708,990",2013,https://www.imdb.com/title/tt2024544/
181,On the Waterfront,8.1,Elia Kazan ,"[' Marlon Brando', ' Karl Malden']","157,092",1954,https://www.imdb.com/title/tt0047296/
182,Ben-Hur,8.1,William Wyler ,"[' Charlton Heston', ' Jack Hawkins']","242,413",1959,https://www.imdb.com/title/tt0052618/
183,The Grand Budapest Hotel,8.1,Wes Anderson ,"[' Ralph Fiennes', ' F. Murray Abraham']","824,808",2014,https://www.imdb.com/title/tt2278388/
184,Gone Girl,8.1,David Fincher ,"[' Ben Affleck', ' Rosamund Pike']","996,698",2014,https://www.imdb.com/title/tt2267998/
